"","act_nopo"
"552","ATNMC: North Mali Tuareg Alliance for Change"
"553","MINURCAT: United Nations Mission in the Central African Republic and Chad (2007-2010)"
"554","Luach Jang Ethnic Militia (Sudan)"
"555","MONUC: United Nations Organization Mission in Democratic Republic of Congo (1999-2010)"
"556","Mayi Mayi Militia (PARECO)"
"557","Witch Hunters Militia (Gambia)"
"558","TGV: Determined Malagasy Youth"
"559","Hawazmah Ethnic Militia (Sudan)"
"560","FNCI: New Forces of Ivory Coast"
"561","Jie Ethnic Militia (Uganda)"
"562","FPJC: Popular Front for Justice in Congo"
"563","Dodoth Ethnic Militia (Uganda)"
"564","FUC: United Front for Change"
"565","Murle Ethnic Militia (Kenya)"
"566","NDDSC: Niger Delta Defence and Security Council"
"567","Hubeer Clan Militia (Somalia)"
"568","JEM-UFN: Justice and Equality Movement (Unity Faction Nur)"
"569","Unidentified Armed Group (Zimbabwe)"
"570","National Alliance of Chad"
"571","ZANU-PF: Zimbabwe African National Union-Patriotic Front"
"572","Bokora Ethnic Militia (Uganda)"
"573","MNJ: Nigerien Movement for Justice"
"574","SLDF: Sabaot Land Defence Force"
"575","Kalenjin Ethnic Militia (Kenya)"
"576","Busia Communal Militia (Kenya)"
"577","Murahaleen Ethnic Militia (Sudan)"
"578","UFDD: Union of Forces for Democracy and Development"
"579","Liberators of the Southern Cameroon"
"580","PRM: Popular Resistance Movement in the Land of the Two Migrations"
"581","PALIPEHUTU-FNL: National Forces for Liberation-Party for the Liberation of the Hutu People"
"582","Zaghawa Ethnic Militia (Chad)"
"583","ADC: Democratic Alliance of 23rd May for Change"
"584","Gabra Ethnic Militia (Kenya)"
"585","Al-Sunna wal Jamma Militia"
"586","Gabra Ethnic Militia (Ethiopia)"
"587","RAFD: Rally of Democratic Forces"
"588","ICU: Islamic Courts Union"
"589","Musgum Ethnic Militia (Cameroon)"
"590","Terjem Ethnic Militia (Sudan)"
"591","UNMIS: United Nations Mission in Sudan (2005-2011)"
"592","Militia (Mohamed Dhere)"
"593","Ummat al-Amjad"
"594","GSPC: Salafist Group for Call and Combat"
"595","Militia (Barre Adan Shire Hiraale)"
"596","Muslim Militia (Ethiopia)"
"597","Suleiman Clan Militia (Somalia)"
"598","Militia (Abdirahman Xidig)"
"599","PPRD: Peoples Party for Reconstruction and Democracy"
"600","Dinka Agar Ethnic Militia (Sudan)"
"601","Matheniko Ethnic Militia (Uganda)"
"602","ARPCT: Alliance for the Restoration of Peace and Counter-Terrorism"
"603","Borana Ethnic Militia (Ethiopia)"
"604","BC: Beja Congress"
"605","EPPF: Ethiopian Peoples Patriotic Front"
"606","Eastern Front"
"607","NMRD: National Movement for Reform and Development"
"608","Dassanach Ethnic Militia (Ethiopia)"
"609","RDL: Rally for Democracy and Liberty"
"610","Hotiya-Baggara Ethnic Militia (Somalia)"
"611","SCUD: Foundation for Change, National Unity and Democracy"
"612","Zande Ethnic Militia (Sudan)"
"613","Pian Ethnic Militia (Uganda)"
"614","RCD: Rally for Congolese Democracy"
"615","Rahanweyn-Hubeer Sub-Clan Militia (Somalia)"
"616","Abdullah Azzam Brigade"
"617","Garre Clan Militia (Somalia)"
"618","Karamajong Ethnic Militia (Uganda)"
"619","Interahamwe Militia"
"620","Viking 22 Student Militia"
"621","Auliyan Clan Militia (Somalia)"
"622","AIAI: Al-Itihad Al-Islamia"
"623","MILOCI: Movement for the Liberation of Western Ivory Coast"
"624","Kikuyu Ethnic Militia (Kenya)"
"625","Arab Ethnic Militia (Sudan)"
"626","Bete Ethnic Militia (Ivory Coast)"
"627","Senoufo Ethnic Militia (Ivory Coast)"
"628","LURD: Liberians United for Reconciliation and Democracy"
"629","Equatoria Defence Force"
"630","Bashmurqa Ethnic Militia (Sudan)"
"631","SSIC: Somali Supreme Islamic Courts Council"
"632","FNI: Nationalist and Integrationist Front"
"633","Islamist Militia (Somalia)"
"634","SPLM/A: Sudan People's Liberation Movement/Army"
"635","Unidentified Armed Group (Equatorial Guinea)"
"636","Anuak Ethnic Militia (Ethiopia)"
"637","Arrow Boys Militia"
"638","Gura Ethnic Militia (Ethiopia)"
"639","Al-Ruayah Ethnic Militia (Sudan)"
"640","MYM: Mujahideen Youth Movement"
"641","Ninjas Militia"
"642","CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy"
"643","Shiite Muslim Militia (Mali)"
"644","Ijaw Ethnic Militia (Nigeria)"
"645","RCD-K-ML: Rally for Congolese Democracy-Kisangani-Liberation Movement"
"646","Urhobo Ethnic Militia (Nigeria)"
"647","RCD-Goma: Rally for Congolese Democracy (Goma)"
"648","Igbo Ethnic Militia (Nigeria)"
"649","GIA: Armed Islamic Group"
"650","Area Boys Militia"
"651","Igbarra Ethnic Militia (Nigeria)"
"652","Itsekiri Ethnic Militia (Nigeria)"
"653","MPIGO: Ivorian Popular Movement of the Great West"
"654","MDJT: Movement for Democracy and Justice in Chad"
"655","Yugur Ethnic Militia (Nigeria)"
"656","Abbey Ethnic Militia (Ivory Coast)"
"657","MLC: Movement for the Liberation of Congo"
"658","Anuak Ethnic Militia (Sudan)"
"659","The Government of Universal Palestine in Exile"
"660","Islamist Militia (Kenya)"
"661","Hutu Rebels"
"662","MPCI: Patriotic Movement of the Ivory Coast"
"663","Islamist Militia (Algeria)"
"664","Merrile Ethnic Militia (Kenya)"
"665","RCD: Rally for Congolese Democracy (Masunzu Faction)"
"666","Dongiro Ethnic Militia (Sudan)"
"667","FNL-N: National Forces of Liberation (Nkurunziza Faction)"
"668","Unidentified Communal Militia (Central African Republic)"
"669","UNITA: National Union for the Total Independence of Angola"
"670","Zaraguinas"
"671","Kuria Ethnic Militia (Kenya)"
"672","SPDF: Sudan Peoples Democratic Front"
"673","OPC: Oodua Peoples Congress"
"674","Mambilla Ethnic Militia (Kenya)"
"675","Unidentified Armed Group (Angola)"
"676","Alur Ethnic Militia (Democratic Republic of Congo)"
"677","Mambilla Ethnic Militia (Nigeria)"
"678","Luo Ethnic Militia (Kenya)"
"679","Nuba Ethnic Militia (Kenya)"
"680","Mamprusis Ethnic Militia (Ghana)"
"681","GLD: Legitimate Defence Groups Militia"
"682","Turkana Ethnic Militia (Sudan)"
"683","Wardei Ethnic Militia (Kenya)"
"684","Unidentified Armed Group (Algeria)"
"685","FLC: Congolese Liberation Front"
"686","Kisii Ethnic Militia (Kenya)"
"687","RUF: Revolutionary United Front"
"688","Unidentified Armed Group (Guinea)"
"689","NDA: National Democratic Alliance"
"690","Unidentified Armed Group (Sierra Leone)"
"691","RCD-K: Rally for Congolese Democracy (Kisangani)"
"692","Civilians (Niger)"
"693","Civilians (Nigeria)"
"694","Civilians (Ethiopia)"
"695","Civilians (Democratic Republic of Congo)"
"696","Moussey Ethnic Militia (Chad)"
"697","Ansaru"
"698","Habar Gedir-Saleban Clan Militia (Somalia)"
"699","Civilians (Mozambique)"
"700","Civilians (Burkina Faso)"
"701","FNL-N: National Forces of Liberation (Nzabampema Faction)"
"702","Civilians (Mali)"
"703","Dioula Ethnic Militia (Ivory Coast)"
"704","Civilians (Somalia)"
"705","Langdiing-Ayiel-Gok Sub Clan Militia (South Sudan)"
"706","Civilians (South Sudan)"
"707","Civilians (Cameroon)"
"708","Taaisha Ethnic Militia (Sudan)"
"709","Civilians (Chad)"
"710","Litandacua Communal Militia (Mozambique)"
"711","Civilians (Central African Republic)"
"712","Konso Ethnic Militia (Ethiopia)"
"713","Civilians (Sudan)"
"714","Islamic State (Somalia)"
"715","Hawazmah Clan Militia (Sudan)"
"716","Atok-Rek Sub-Clan Militia (South Sudan)"
"717","Janzur Knights Brigade"
"718","Dhulbahante-Reer Hagar Sub-Clan Militia (Somalia)"
"719","Duk Padiet Communal Militia (South Sudan)"
"720","Buk-Atok-Rek Sub-Clan Militia (South Sudan)"
"721","Civilians (Libya)"
"722","Banyamulenge Ethnic Militia (Democratic Republic of Congo)"
"723","Civilians (Bangladesh)"
"724","Nyong Clan Militia (South Sudan)"
"725","Choba Ethnic Militia (Nigeria)"
"726","Twic Clan Dinka Ethnic Militia (South Sudan)"
"727","Tonj North Communal Militia (South Sudan)"
"728","Former FRELIMO: Liberation Front of Mozambique"
"729","Awramale Clan Militia (Somalia)"
"730","Private Security Forces (Syria)"
"731","Ruop-Agar Sub-Clan Militia (South Sudan)"
"732","Civilians (Egypt)"
"733","Zombo Communal Militia (Uganda)"
"734","Gurbi Communal Militia"
"735","Owramale Clan Militia (Somalia)"
"736","Yogoubeneme Communal Militia (Mali)"
"737","Antsokay Communal Militia (Madagascar)"
"738","Katiba Serma"
"739","Civilians (Kenya)"
"740","AWDL Communal Militia (Somalia)"
"741","Antandroy Ethnic Militia (Madagasacar)"
"742","Bodi Communal Militia (Ethiopia)"
"743","Civilians (Rwanda)"
"744","Jalwaau Communal Militia (South Sudan)"
"745","Takum Communal Militia (Nigeria)"
"746","Akok Communal Militia (South Sudan)"
"747","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition (Splinter Faction)"
"748","Ouaddaian Ethnic Militia (Chad)"
"749","Hawiye-Sheikhal-Awqudub Sub-Clan Militia (Somalia)"
"750","Hir-Shabelle Sub-Clan Militia (Somalia)"
"751","Militia (Col. Caare)"
"752","Civilians (International)"
"753","Gaalkacyo Clan Militia (Somalia)"
"754","Arab Ethnic Militia (Libya)"
"755","Twic Communal Militia (South Sudan)"
"756","Unidentified Cult Militia (Nigeria)"
"757","Jie Ethnic Militia (South Sudan)"
"758","Jibia Communal Militia (Nigeria)"
"759","Kankara Communal Militia (Nigeria)"
"760","HCUA: High Council for the Unity of Azawad"
"761","Fulani Ethnic Militia (Burkina Faso)"
"762","Nanchere Ethnic Militia (Chad)"
"763","Jan-Ruwa Communal Militia (Nigeria)"
"764","Mayi Mayi Militia (Nyatura-Kavumbi)"
"765","Marba Ethnic Militia (Chad)"
"766","MPF: Murzuq Protection Force"
"767","Tsafe Communal Militia (Nigeria)"
"768","UFR: Union of Forces for Resistance"
"769","UPLC: Union of Patriots for the Liberation of Congo"
"770","Mayi Mayi Militia (Nyatura-Nzayi)"
"771","Murusade Clan Militia (Somalia)"
"772","MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)"
"773","Misseriya Jabal Ethnic Militia (Sudan)"
"774","Marehan-Wagardhac Sub-Clan Militia (Somalia)"
"775","Banunu Ethnic Militia (Democratic Republic of Congo)"
"776","Civilians (Burundi)"
"777","Militia (Kawai Dewayo)"
"778","Miski Communal Militia (Chad)"
"779","Mayi Mayi Militia (Raia Mutomboki-Hamakombo)"
"780","Dhulbahante-Qayaad Sub-Clan Militia (Somalia)"
"781","Militia (Terwase Agwaza)"
"782","Mozum Communal Militia (Nigeria)"
"783","Boji Communal Militia (Ethiopia)"
"784","TPF: Tripoli Protection Force"
"785","Amerko Ethnic Militia (Ethiopia)"
"786","Fokonolona Communal Militia (Madagascar)"
"787","Jal Wau Communal Militia (South Sudan)"
"788","Civilians (Republic of Congo)"
"789","Niangassagou Communal Militia (Mali)"
"790","Mayi Mayi Militia (Charles)"
"791","Anti-Balaka (Yagbengue Faction)"
"792","Karakindje Communal Militia (Mali)"
"793","Unidentified Communal Militia (Cameroon)"
"794","Zanoka Communal Militia (Nigeria)"
"795","SS-UF: South Sudan-United Front"
"796","Cross River Communal Militia (Nigeria)"
"797","Cabudwaaq Communal Militia (Somalia)"
"798","SPLM-N: Sudan People's Liberation Movement (North)"
"799","Siriri Coalition"
"800","Luo Ethnic Militia (South Sudan)"
"801","Militia (Buharin Daji)"
"802","Irigwe Ethnic Militia (Nigeria)"
"803","Habar Yoonis-Sacad Yoonis Sub-Clan Militia (Somalia)"
"804","Civilians (Senegal)"
"805","RJ: Revolution and Justice"
"806","Militia (Sheikh Mukhtar Robow)"
"807","RAC: Revolutionary Awakening Council"
"808","Kwahu Communal Militia (Ghana)"
"809","Unidentified Ethnic Militia (Chad)"
"810","IPOB: Indigenous Peoples of Biafra"
"811","FPRC: Popular Front for the Renaissance of Central Africa (Ousta Faction)"
"812","Moyale Communal Militia (Ethiopia)"
"813","Civilians (Ghana)"
"814","SSPM/A: South Sudan Patriotic Movement/Army"
"815","Suwai Clan Militia (Libya)"
"816","SPLM-N-NMLC: Sudan People's Liberation Movement (North) (Nuba Mountains Liberation Council Faction)"
"817","Majeerteen-Ismail Saleban Sub-Clan Militia (Somalia)"
"818","Budi Communal Militia (South Sudan)"
"819","Wanihem Communal Militia (Nigeria)"
"820","Mayi Mayi Militia (Fuliiru)"
"821","Fakhr Libya"
"822","Libyan National Guards"
"823","Marsabit Communal Militia (Kenya)"
"824","Aliap Clan Militia (South Sudan)"
"825","Lulua Ethnic Militia (Democratic Republic of Congo)"
"826","Basbusa Clan Militia (Libya)"
"827","Benishangul Peoples Liberation Movement"
"828","Abgal-Cabdale Caroone Sub-Clan Militia (Somalia)"
"829","Berti Ethnic Militia (Sudan)"
"830","Mafa Communal Militia (Nigeria)"
"831","Militia (Refugees)"
"832","Jalle Communal Militia (South Sudan)"
"833","Maban Communal Militia (South Sudan)"
"834","Omar Mukhtar Brigade"
"835","Fulani Ethnic Militia (Niger)"
"836","Mayi Mayi Militia (Body of Christ)"
"837","Koch Communal Militia (South Sudan)"
"838","FLEC: Front for the Liberation of the Enclave of Cabinda"
"839","Mutiny of UPC: Union for Peace in the Central African Republic"
"840","Limani Communal Militia (Cameroon)"
"841","Fertit Ethnic Militia (South Sudan)"
"842","Mahadi Ethnic Militia (Sudan)"
"843","Civilians (Madagascar)"
"844","Unidentified Communal Militia (Libya)"
"845","Khatumo Regional Militia (Somalia)"
"846","Fulani Ethnic Militia (Ivory Coast)"
"847","Civilians (Ivory Coast)"
"848","Operation Libya Dawn"
"849","Sabratha Communal Militia (Libya)"
"850","Civilians (Uganda)"
"851","Militia (Ndigbara)"
"852","Shilluk Ethnic Militia (South Sudan)"
"853","SSNLM: South Sudan National Liberation Movement"
"854","Dinka Marial Lou Ethnic Militia (South Sudan)"
"855","Issa Yonis Moussa Sub-Clan Militia (Djibouti)"
"856","Tawhid al-Salafiya"
"857","Gogone Communal Militia (Niger)"
"858","Anuak Ethnic Militia (South Sudan)"
"859","Awngi Ethnic Militia (Ethiopia)"
"860","Duduble Clan Militia (Somalia)"
"861","Unidentified Clan Militia (Ethiopia)"
"862","Dinka Luach Ethnic Militia (South Sudan)"
"863","Firjan Ethnic Militia (Libya)"
"864","Abu Salim Martyrs Brigade"
"865","Islamist Militia (Libya)"
"866","Mundari Ethnic Militia (South Sudan)"
"867","Bimbilla Communal Militia (Ghana)"
"868","Berber Ethnic Militia (Algeria)"
"869","Unidentified Armed Group (Eritrea)"
"870","Mayi Mayi Militia (Handlebar)"
"871","Hamar Ethnic Militia (Ethiopia)"
"872","Jur Ethnic Militia (South Sudan)"
"873","Dinka Ngok Ethnic Militia (South Sudan)"
"874","Haak Nuer Ethnic Militia (South Sudan)"
"875","Egbas Ethnic Militia (Nigeria)"
"876","Christian Militia (Angola)"
"877","Rumbek Communal Militia (South Sudan)"
"878","Rup Dinka Ethnic Militia (South Sudan)"
"879","Saalax Communal Militia (Somalia)"
"880","Gaboua Communal Militia (Cameroon)"
"881","Thuyic Ethnic Militia (South Sudan)"
"882","Kanberi Ethnic Militia (Nigeria)"
"883","Brega Martyrs Brigade"
"884","February 17 Martyrs Brigade"
"885","Militia (Ahmed Madoobe)"
"886","Civilians (Guinea-Bissau)"
"887","Leer Communal Militia (South Sudan)"
"888","Degodia Ethnic Militia (Kenya)"
"889","Civilians (Eritrea)"
"890","Shiite Muslim Militia (Nigeria)"
"891","AU-RTF: African Union-led Regional Task Force (2011-)"
"892","Panyar-Gok Sub-Clan Militia (South Sudan)"
"893","Liwa Communal Militia (Central African Republic)"
"894","Luba Ethnic Militia (Democratic Republic of Congo)"
"895","Bwasarsud Communal Militia (Madagascar)"
"896","MISCA: African-led International Support Mission to the Central African Republic (2013-2014)"
"897","Gbajimba Communal Militia (Nigeria)"
"898","Duk Youth Militia (South Sudan)"
"899","Tama Ethnic Militia (Sudan)"
"900","Unidentified Communal Militia (Tanzania)"
"901","Burji Ethnic Militia (Kenya)"
"902","Bisheshab Ethnic Militia (Sudan)"
"903","AU RCI-LRA: African Union Regional Cooperation Inititiative for the Elimination of the Lords Resistance Army Joint Task Force (2011-)"
"904","Alago Ethnic Militia (Nigeria)"
"905","Garamna Ethnic Militia (Libya)"
"906","Militia (Bozize)"
"907","Pirates (Nigeria)"
"908","Al Jihad"
"909","Esira Communal Militia (Madagascar)"
"910","Ranomafana Communal Militia (Madagascar)"
"911","Guerze Ethnic Militia (Guinea)"
"912","Barre-Hirale Sub-Clan Militia (Somalia)"
"913","Militia (Ali Kwara)"
"914","Al-Gamir Ethnic Militia (Sudan)"
"915","Al Taaysha Ethnic Militia (Sudan)"
"916","Moba Communal Militia (Democratic Republic of Congo)"
"917","Ogume Communal Militia (Nigeria)"
"918","MPA: Popular Movement for Self-Defence"
"919","Ogaden Clan Militia (Somalia)"
"920","Those Who Signed in Blood"
"921","LJM: Liberation and Justice Movement"
"922","Tugen Ethnic Militia (Kenya)"
"923","Dinka Rek Ethnic Militia (Sudan)"
"924","Men Around the Prophet"
"925","FDPC: Democratic Front for the People of the Central African Republic"
"926","Amothnhon Communal Militia (South Sudan)"
"927","Emanombo Communal Militia (Madagascar)"
"928","Fenoevo Communal Militia (Madagascar)"
"929","CDF: Congolese Defence Forces"
"930","Gontrar Ethnic Militia (Libya)"
"931","MINUCI: United Nations Mission in Cote d'Ivoire (2003-2004)"
"932","MASSOB: Movement for the Actualization of a Sovereign State of Biafra"
"933","Suri Ethnic Militia (Ethiopia)"
"934","CNDP: National Congress for the Defence of the People"
"935","Sabha Communal Militia (Libya)"
"936","SSC: Sool, Sanaag and Cayn Militia"
"937","Mayi Mayi Militia (Guides)"
"938","Ezillo Ethnic Militia (Nigeria)"
"939","Sheeqaal Clan Militia (Somalia)"
"940","Ali Saleban Clan Militia (Somalia)"
"941","NLA: National Liberation Army"
"942","Civilians (Liberia)"
"943","Coptic Christian Militia (Egypt)"
"944","Civilians (Morocco)"
"945","Kwa Na Kwa Party"
"946","Jul-bel Ethnic Militia (Sudan)"
"947","Gatluak Gai Rebel Group"
"948","OLF: Oromo Liberation Front (Splinter Faction)"
"949","ANPP: All Nigeria Peoples Party"
"950","Yirol Communal Militia (Sudan)"
"951","MLCJ-Rakis: Movement of Central African Liberators for Justice (Rakis Faction)"
"952","Gwang Rebel Group"
"953","Civilians (Algeria)"
"954","Nuwayba Ethnic Militia (Sudan)"
"955","Lobala Ethnic Militia (Democratic Republic of Congo)"
"956","Civilians (Tanzania)"
"957","Birgid Ethnic Militia (Sudan)"
"958","Civilians (Zimbabwe)"
"959","CNJ: National Convention for Justice"
"960","Sidama Ethnic Militia (Ethiopia)"
"961","Eastern Jikany Nuer Ethnic Militia (Sudan)"
"962","TPDM: Tigray Peoples Democratic Movement"
"963","Civilians (Gambia)"
"964","Unidentified Clan Militia (Sudan)"
"965","Apuk Ethnic Militia (Sudan)"
"966","Mutiny of FNCI: New Forces of Ivory Coast (Zakaria Kone)"
"967","Civilians (Zambia)"
"968","Private Security Forces (Kenya)"
"969","Amaro Ethnic Militia (Ethiopia)"
"970","RFC: Rally of Forces for Change"
"971","Mutiny of PALIPEHUTU-FNL: National Forces for Liberation-Party for the Liberation of the Hutu People"
"972","Tama Ethnic Militia (Chad)"
"973","UNAMID: United Nations/African Union Hybrid Operation in Darfur (2007-)"
"974","SLM/A-Shafi: Sudan Liberation Movement/Army (Ahmed Abdel Shafi Faction)"
"975","FUCD: Unity Front for Democratic Change"
"976","NRF: National Redemption Front"
"977","Kotoko Ethnic Militia (Cameroon)"
"978","Militia (Abdi Awale Qeybdid)"
"979","Christian Militia (Ethiopia)"
"980","Rahanweyn Clan Militia (Somalia)"
"981","MRC: Congolese Revolutionary Movement"
"982","MFDC: Movement of Democratic Forces of Casamance (Front Sud)"
"983","Suleiman-Habar Gedir Clan Militia (Somalia)"
"984","Newiba-Aballa Ethnic Militia (Sudan)"
"985","Militia (Iman Muhammad Ali)"
"986","Moru Ethnic Militia (Sudan)"
"987","Rahanweyn-Yantar Sub-Clan Militia (Somalia)"
"988","Black Axe Student Militia"
"989","Hadame Clan Militia (Somalia)"
"990","Hawiye-Habar Gedir-Saleban Sub-Clan Militia (Somalia)"
"991","Gebra Ethnic Militia (Ethiopia)"
"992","Maasai Ethnic Militia (Kenya)"
"993","Katangan Tigers"
"994","Burgo Ethnic Militia (Sudan)"
"995","Mutiny of FNCI: New Forces of Ivory Coast (Ibrahim Coulibaly)"
"996","Dawe Ethnic Militia (Ethiopia)"
"997","PUSIC: Party for the Unity and Safekeeping of Congos Integrity"
"998","AD: Alliance for Democracy"
"999","Gbagyi Ethnic Militia (Nigeria)"
"1000","Riyom Ethnic Militia (Nigeria)"
"1001","FONALT: Forces of the National Organisations for Alternance and Liberty in Chad"
"1002","ANR: National Resistance Army"
"1003","SLF: Sidama Liberation Front"
"1004","Isa Ethnic Militia (Ethiopia)"
"1005","Oromo Ethnic Militia (Kenya)"
"1006","Civilians (Angola)"
"1007","Owo Communal Militia (Nigeria)"
"1008","Fulani Ethnic Militia (Kenya)"
"1009","Kusasis Ethnic Militia (Ghana)"
"1010","Gasenyi Communal Militia (Burundi)"
"1011","Kwala Ethnic Militia (Nigeria)"
"1012","Lafia Ethnic Militia (Nigeria)"
"1013","Civilians (Guinea)"
"1014","RFDG: Rally of Democratic Forces of Guinea"
"1015","Pastoralists (Chad)"
"1016","Pastoralists (Madagascar)"
"1017","Dyck Advisory Group"
"1018","Hema Ethnic Group (Democratic Republic of Congo)"
"1019","Bira Ethnic Group (Democratic Republic of Congo)"
"1020","Dinka Ethnic Militia (South Sudan); Pastoralists (South Sudan)"
"1021","Komala Communal Militia (Nigeria)"
"1022","Pastoralists (Nigeria)"
"1023","Batwa Ethnic Group (Democratic Republic of Congo)"
"1024","Prisoners (Somalia)"
"1025","Pastoralists (Sudan)"
"1026","Pastoralists (Mali)"
"1027","Awan-Parek-Rek Clan Militia (South Sudan); Dinka Ethnic Militia (South Sudan)"
"1028","Goula Ethnic Group (Central African Republic)"
"1029","Ngumino Ethnic Militia (Democratic Republic of Congo); Banyamulenge Ethnic Militia (Democratic Republic of Congo)"
"1030","Mayi Mayi Militia (Mazembe); NDC-G: Nduma Defence of Congo (Guidon)"
"1031","Thuyic-Agar Sub-Clan Militia (South Sudan); Dinka Ethnic Militia (South Sudan)"
"1032","Tambura Communal Militia (South Sudan)"
"1033","Lou Clan Militia (South Sudan); Dinka Ethnic Militia (South Sudan); Nuer Ethnic Militia (South Sudan)"
"1034","Twiganeho Ethnic Militia (Democratic Republic of Congo); Banyamulenge Ethnic Group (Democratic Republic of Congo)"
"1035","Dinka Ethnic Militia (South Sudan); Lakes Communal Militia (South Sudan)"
"1036","Fulani Ethnic Group (Central African Republic)"
"1037","APCLS: Alliance of Patriots for a Free and Sovereign Congo; APRC: Alliance of Patriots for the Reconstruction of Congo; Mayi Mayi Militia (Nyatura) Domi Faction; FDLR-FOCA: Democratic Forces for the Liberation of Rwanda- Forces fighting Abacunguzi"
"1038","Dinka Ethnic Group (South Sudan)"
"1039","MLCJ: Movement of Central African Liberators for Justice; PRNC: Party of the Rally of the Central African Nation; Kara Ethnic Group (Central African Republic)"
"1040","Unidentified Clan Group (Somalia)"
"1041","Islamic State (Mozambique)"
"1042","Ngok Clan Dinka Ethnic Militia (South Sudan)"
"1043","Aliamtoc-Agar Sub-Clan Militia (South Sudan); Kuei-Agar Sub-Clan Militia (South Sudan); Pakam-Agar Sub-Clan Militia (South Sudan); Dinka Ethnic Group (South Sudan)"
"1044","Pastoralists (Ethiopia)"
"1045","Kuei-Agar Sub-Clan Militia (South Sudan); Athoi-Agar Sub-Clan Militia (South Sudan); Dinka Ethnic Group (South Sudan)"
"1046","Pastoralists (South Sudan)"
"1047","Mayi Mayi Militia (Raia Mutomboki-Ndarumanga); Mayi Mayi Militia (Raia Mutomboki-Donat)"
"1048","Mossi Ethnic Militia (Burkina Faso); Foulse Ethnic Militia (Burkina Faso)"
"1049","FOREBU: Republican Forces of Burundi"
"1050","Tariq Ibn Ziyad Brigade"
"1051","Khalid Ibn Al-Walid Battalion; Umm el Araneb Communal Militia (Libya); Qatrun Communal Militia (Libya)"
"1052","Yei Communal Militia (South Sudan)"
"1053","Ahali Ethnic Militia (Libya)"
"1054","Eastern Jikany Nuer Ethnic Militia (South Sudan)"
"1055","Pastoralists (Somalia)"
"1056","Farmers (Sudan)"
"1057","Taxi Drivers (Ivory Coast)"
"1058","Refugees/IDPs (Sudan)"
"1059","Pastoralists (Nigeria); Jukun Ethnic Militia (Nigeria)"
"1060","Foulse Ethnic Militia (Burkina Faso); Mossi Ethnic Militia (Burkina Faso)"
"1061","Northern Liech Communal Militia (South Sudan)"
"1062","Mossi Ethnic Group (Burkina Faso)"
"1063","Farmers (Nigeria)"
"1064","Mujahedin Militia"
"1065","FPRC: Popular Front for the Renaissance of Central Africa; Muslim Militia (Central African Republic)"
"1066","Waw Battalion"
"1067","Sumood Brigade"
"1068","Somali Ethnic Group (Ethiopia)"
"1069","Government of Somalia (2017-)"
"1070","Nyandan Ethnic Militia (Nigeria)"
"1071","Private Security Forces (United States)"
"1072","Mayi Mayi Militia (Hapa na pale); Mayi Mayi Militia (Yakutumba)"
"1073","SPLM-In Opposition-Fertit Lions: Sudan People's Liberation Movement-In Opposition (Fertit Lions Faction)"
"1074","GATIA: Imghad Tuareg and Allies Self-Defense Group; MSA: Movement for Azawad Salvation"
"1075","Dhiei Clan Dinka Ethnic Militia (South Sudan)"
"1076","Government of Libya (2016-) Government of National Accord; Government of Libya (2014-) General National Congress; 33rd Infantry Brigade"
"1077","Pastoralists (Ghana)"
"1078","Government of Libya (2016-) Government of National Accord"
"1079","Marial Bai Communal Militia (South Sudan)"
"1080","Farmers (Ghana)"
"1081","Pagok-Gok Sub Clan Militia (South Sudan); Kongor Gok-Sub Clan Militia (South Sudan); Dinka Ethnic Militia (South Sudan)"
